0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,5999981306,8.000000,307.006043,127.500119,3.141621,-0.000008
2,Value,Occurrences,Fraction
3,0,23444734,0.003907
3,1,23444930,0.003908
3,2,23435801,0.003906
3,3,23432226,0.003905
3,4,23435571,0.003906
3,5,23442574,0.003907
3,6,23436201,0.003906
3,7,23436271,0.003906
3,8,23432982,0.003906
3,9,23429992,0.003905
3,10,23435919,0.003906
3,11,23437154,0.003906
3,12,23427202,0.003905
3,13,23436062,0.003906
3,14,23440160,0.003907
3,15,23446001,0.003908
3,16,23429051,0.003905
3,17,23436524,0.003906
3,18,23440912,0.003907
3,19,23433552,0.003906
3,20,23438478,0.003906
3,21,23434761,0.003906
3,22,23435566,0.003906
3,23,23434411,0.003906
3,24,23438023,0.003906
3,25,23428934,0.003905
3,26,23432663,0.003905
3,27,23432821,0.003905
3,28,23434899,0.003906
3,29,23437436,0.003906
3,30,23438212,0.003906
3,31,23438945,0.003907
3,32,23426846,0.003904
3,33,23441422,0.003907
3,34,23437198,0.003906
3,35,23441381,0.003907
3,36,23433315,0.003906
3,37,23439543,0.003907
3,38,23439442,0.003907
3,39,23446547,0.003908
3,40,23440050,0.003907
3,41,23441635,0.003907
3,42,23436140,0.003906
3,43,23432638,0.003905
3,44,23440117,0.003907
3,45,23433237,0.003906
3,46,23446719,0.003908
3,47,23428277,0.003905
3,48,23440898,0.003907
3,49,23434429,0.003906
3,50,23433275,0.003906
3,51,23441515,0.003907
3,52,23438785,0.003906
3,53,23442415,0.003907
3,54,23431816,0.003905
3,55,23439521,0.003907
3,56,23445102,0.003908
3,57,23441331,0.003907
3,58,23429613,0.003905
3,59,23435090,0.003906
3,60,23433490,0.003906
3,61,23435594,0.003906
3,62,23443870,0.003907
3,63,23434407,0.003906
3,64,23434288,0.003906
3,65,23430514,0.003905
3,66,23438164,0.003906
3,67,23441187,0.003907
3,68,23430675,0.003905
3,69,23439655,0.003907
3,70,23443123,0.003907
3,71,23437225,0.003906
3,72,23440212,0.003907
3,73,23443084,0.003907
3,74,23445048,0.003908
3,75,23450407,0.003908
3,76,23444883,0.003907
3,77,23438888,0.003906
3,78,23431934,0.003905
3,79,23437850,0.003906
3,80,23430982,0.003905
3,81,23439029,0.003907
3,82,23436763,0.003906
3,83,23434887,0.003906
3,84,23436551,0.003906
3,85,23436341,0.003906
3,86,23434673,0.003906
3,87,23441122,0.003907
3,88,23434599,0.003906
3,89,23436713,0.003906
3,90,23437022,0.003906
3,91,23439478,0.003907
3,92,23439893,0.003907
3,93,23432801,0.003905
3,94,23435257,0.003906
3,95,23436568,0.003906
3,96,23429339,0.003905
3,97,23445923,0.003908
3,98,23449945,0.003908
3,99,23432250,0.003905
3,100,23428192,0.003905
3,101,23436784,0.003906
3,102,23432570,0.003905
3,103,23445822,0.003908
3,104,23436773,0.003906
3,105,23434516,0.003906
3,106,23434097,0.003906
3,107,23442421,0.003907
3,108,23439634,0.003907
3,109,23438645,0.003906
3,110,23455191,0.003909
3,111,23436674,0.003906
3,112,23443079,0.003907
3,113,23436276,0.003906
3,114,23437556,0.003906
3,115,23445587,0.003908
3,116,23426679,0.003904
3,117,23443029,0.003907
3,118,23439356,0.003907
3,119,23435270,0.003906
3,120,23437526,0.003906
3,121,23437248,0.003906
3,122,23436832,0.003906
3,123,23447188,0.003908
3,124,23440054,0.003907
3,125,23438108,0.003906
3,126,23433223,0.003906
3,127,23436134,0.003906
3,128,23439890,0.003907
3,129,23442811,0.003907
3,130,23437298,0.003906
3,131,23445904,0.003908
3,132,23424988,0.003904
3,133,23432259,0.003905
3,134,23436974,0.003906
3,135,23432203,0.003905
3,136,23445961,0.003908
3,137,23442616,0.003907
3,138,23434490,0.003906
3,139,23438062,0.003906
3,140,23430179,0.003905
3,141,23437527,0.003906
3,142,23432496,0.003905
3,143,23433852,0.003906
3,144,23434970,0.003906
3,145,23432547,0.003905
3,146,23440999,0.003907
3,147,23431796,0.003905
3,148,23439780,0.003907
3,149,23441109,0.003907
3,150,23438376,0.003906
3,151,23432158,0.003905
3,152,23440573,0.003907
3,153,23436665,0.003906
3,154,23442244,0.003907
3,155,23445334,0.003908
3,156,23446403,0.003908
3,157,23434467,0.003906
3,158,23444233,0.003907
3,159,23434864,0.003906
3,160,23433401,0.003906
3,161,23435960,0.003906
3,162,23434263,0.003906
3,163,23435791,0.003906
3,164,23442216,0.003907
3,165,23434018,0.003906
3,166,23434376,0.003906
3,167,23430972,0.003905
3,168,23436688,0.003906
3,169,23430532,0.003905
3,170,23436364,0.003906
3,171,23439622,0.003907
3,172,23443680,0.003907
3,173,23443106,0.003907
3,174,23427619,0.003905
3,175,23444650,0.003907
3,176,23428789,0.003905
3,177,23426570,0.003904
3,178,23435627,0.003906
3,179,23443694,0.003907
3,180,23445763,0.003908
3,181,23440114,0.003907
3,182,23441705,0.003907
3,183,23434051,0.003906
3,184,23439223,0.003907
3,185,23432694,0.003905
3,186,23442624,0.003907
3,187,23439983,0.003907
3,188,23436125,0.003906
3,189,23442900,0.003907
3,190,23446170,0.003908
3,191,23443554,0.003907
3,192,23441361,0.003907
3,193,23445324,0.003908
3,194,23437156,0.003906
3,195,23432022,0.003905
3,196,23429216,0.003905
3,197,23441418,0.003907
3,198,23439152,0.003907
3,199,23431897,0.003905
3,200,23439892,0.003907
3,201,23444134,0.003907
3,202,23432186,0.003905
3,203,23436775,0.003906
3,204,23436170,0.003906
3,205,23443347,0.003907
3,206,23442968,0.003907
3,207,23433673,0.003906
3,208,23437065,0.003906
3,209,23433214,0.003906
3,210,23437471,0.003906
3,211,23441842,0.003907
3,212,23431013,0.003905
3,213,23433721,0.003906
3,214,23442389,0.003907
3,215,23430191,0.003905
3,216,23420050,0.003903
3,217,23444104,0.003907
3,218,23437233,0.003906
3,219,23439186,0.003907
3,220,23441774,0.003907
3,221,23431214,0.003905
3,222,23445542,0.003908
3,223,23437441,0.003906
3,224,23437958,0.003906
3,225,23434822,0.003906
3,226,23428192,0.003905
3,227,23440279,0.003907
3,228,23424443,0.003904
3,229,23436415,0.003906
3,230,23431649,0.003905
3,231,23437676,0.003906
3,232,23438299,0.003906
3,233,23439100,0.003907
3,234,23438901,0.003906
3,235,23436353,0.003906
3,236,23437701,0.003906
3,237,23441740,0.003907
3,238,23439661,0.003907
3,239,23437681,0.003906
3,240,23439946,0.003907
3,241,23428689,0.003905
3,242,23438257,0.003906
3,243,23443296,0.003907
3,244,23442287,0.003907
