		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 4162.660156	M = 2131290	N = 8	m = 9	n = 17050327
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 4139 4173 4087 4196 4178 4237 4184 4186  3.544469 0.895711 SUCCESS   0
000000011 4183 4144 4164 4065 4092 4174 4040 4164  7.571191 0.476436 SUCCESS   1
000000101 4149 4233 4163 4231 4282 4226 4268 4258 11.987900 0.151745 SUCCESS   2
000000111 4148 4148 4181 4049 4122 4257 4075 4093  9.137847 0.330801 SUCCESS   3
000001001 4111 4054 4080 4146 4129 4185 4228 4119  7.303745 0.504243 SUCCESS   4
000001011 4214 4266 4071 4151 4155 4224 4281 4301 14.614608 0.067087 SUCCESS   5
000001101 4217 4241 4267 4211 4142 4197 4135 4097  7.204914 0.514694 SUCCESS   6
000001111 4140 4152 4107 4157 4275 4241 4060 4103  9.097620 0.334128 SUCCESS   7
000010001 4104 4310 4168 4187 4248 4200 4165 4132  8.794631 0.359916 SUCCESS   8
000010011 4083 4123 4065 4090 4078 4052 4228 4226 12.530847 0.129044 SUCCESS   9
000010101 4137 4156 4247 4155 4288 4104 4137 4232  8.073685 0.426306 SUCCESS  10
000010111 4174 4216 4176 4269 4171 4216 4266 4215  7.651487 0.468232 SUCCESS  11
000011001 4196 4196 4193 4014 4171 4104 4128 4142  7.549375 0.478677 SUCCESS  12
000011011 4148 4177 4133 4198 4149 4210 4040 4163  4.975192 0.760224 SUCCESS  13
000011101 4239 4081 4048 4181 4131 4101 4154 4167  7.672486 0.466099 SUCCESS  14
000011111 4161 4150 4148 4209 4236 4267 4185 4145  4.870669 0.771306 SUCCESS  15
000100011 4167 4179 4170 4142 4199 4137 4239 4031  6.437565 0.598341 SUCCESS  16
000100101 4332 4090 4113 4205 4175 4273 4195 4101 13.763149 0.088152 SUCCESS  17
000100111 4146 4153 4055 4155 4115 4114 4074 4187  6.239994 0.620369 SUCCESS  18
000101001 4080 4211 4161 4137 4072 4135 4294 4213  9.591156 0.294901 SUCCESS  19
000101011 4148 4154 4193 4177 4203 4271 4098 4160  4.713398 0.787723 SUCCESS  20
000101101 4137 4193 4051 4158 4148 4165 4273 4248  8.385425 0.396754 SUCCESS  21
000101111 4157 4252 4234 4266 4180 4180 4287 4146  9.969392 0.267181 SUCCESS  22
000110011 4099 4144 4112 4046 4038 4138 4248 4120 11.387340 0.180703 SUCCESS  23
000110101 4258 4122 4321 4149 4241 4198 4192 4114 11.583092 0.170797 SUCCESS  24
000110111 4172 4242 4198 4164 4197 4178 4052 4177  5.341976 0.720478 SUCCESS  25
000111001 4190 4216 4160 4156 4046 4274 4105 4195  8.453491 0.390470 SUCCESS  26
000111011 4221 4156 4081 4244 4145 4033 4184 4157  8.533690 0.383145 SUCCESS  27
000111101 4121 4197 4280 4191 4119 4146 4181 4065  7.341157 0.500311 SUCCESS  28
000111111 4261 4178 4242 4212 4192 4129 4173 4033  9.329885 0.315236 SUCCESS  29
001000011 4192 4190 4061 4065 4083 4123 4132 4256  9.703565 0.286451 SUCCESS  30
001000101 4094 4237 4173 4169 4202 4185 4136 4236  4.602832 0.799059 SUCCESS  31
001000111 4230 4321 4210 4238 4187 4100 4192 4039 14.460243 0.070530 SUCCESS  32
001001011 4326 4134 4101 4166 4158 4133 4189 4010 13.968275 0.082596 SUCCESS  33
001001101 4080 4066 4131 4188 4086 4122 4215 4214  7.634717 0.469940 SUCCESS  34
001001111 4297 4145 4158 4106 4160 4062 4102 4142  8.904844 0.350387 SUCCESS  35
001010011 4155 4149 4100 4053 4162 4094 4102 4253  8.138359 0.420073 SUCCESS  36
001010101 4106 4178 4201 4184 4178 4060 4231 4233  6.401716 0.602329 SUCCESS  37
001010111 4118 4277 4259 4160 4239 4260 4199 4195 10.442598 0.235324 SUCCESS  38
001011011 4188 4200 4082 4184 4233 4142 4264 4194  6.367139 0.606179 SUCCESS  39
001011101 4196 4165 4113 4150 4130 4140 4233 4149  2.598582 0.956975 SUCCESS  40
001011111 4129 4177 4214 4280 4123 4139 4178 4078  6.778158 0.560746 SUCCESS  41
001100101 4183 4224 4204 4092 4075 4135 4193 4212  5.636142 0.687914 SUCCESS  42
001100111 4010 4064 4149 4137 4141 4174 4265 4072 13.212811 0.104734 SUCCESS  43
001101011 4133 4171 4221 4196 4187 4178 4155 4132  1.811627 0.986252 SUCCESS  44
001101101 4092 4119 4121 4203 4113 4179 4160 4173  3.257342 0.917186 SUCCESS  45
001101111 4170 4212 4177 4195 4066 4304 4109 4241 10.455179 0.234520 SUCCESS  46
001110101 4160 4206 4071 4137 4188 4100 4131 4174  4.135909 0.844658 SUCCESS  47
001110111 4163 4168 4105 4192 4264 4134 4148 4129  4.138005 0.844462 SUCCESS  48
001111011 4164 4181 4164 4221 4074 4185 4153 4041  6.708395 0.568396 SUCCESS  49
001111101 4191 4112 4165 4103 4186 4092 4197 4136  3.568676 0.893795 SUCCESS  50
001111111 4193 4146 4164 4160 4143 4161 4230 4160  1.525160 0.992282 SUCCESS  51
010000011 4212 4208 4208 4181 4088 4152 4105 4287  7.791114 0.454136 SUCCESS  52
010000111 4201 4219 4213 4164 4231 4189 4275 4247  8.020349 0.431485 SUCCESS  53
010001011 4164 4216 4245 4202 4186 4138 4250 4115  5.522979 0.700493 SUCCESS  54
010001111 4175 4219 4284 4200 4063 4161 4217 4183  8.136616 0.420240 SUCCESS  55
010010011 4179 4098 4121 4151 4187 4078 4218 4192  4.473281 0.812100 SUCCESS  56
010010111 4237 4215 4121 4289 4104 4101 4183 4130  8.618936 0.375454 SUCCESS  57
010011011 4150 4051 4019 4205 4098 4163 4161 4178  9.809582 0.278646 SUCCESS  58
010011111 4206 4093 4246 4162 4134 4153 4198 4253  5.963967 0.651268 SUCCESS  59
010100011 4119 4253 4201 4112 4080 4198 4153 4161  5.536535 0.698989 SUCCESS  60
010100111 4162 4154 4143 4109 4122 4059 4173 4229  5.031215 0.754235 SUCCESS  61
010101011 4218 4180 4220 4211 4229 4096 4255 4228  7.610523 0.472409 SUCCESS  62
010101111 4209 4254 4187 4195 4177 4209 4237 4156  4.982635 0.759431 SUCCESS  63
010110011 4159 4156 4272 4104 4123 4247 4069 4089  9.526280 0.299860 SUCCESS  64
010110111 4167 4164 4112 4089 4203 4176 4210 4189  3.168871 0.923317 SUCCESS  65
010111011 4170 4258 4118 4283 4155 4111 4154 4083  8.639156 0.373644 SUCCESS  66
010111111 4159 4276 4089 4168 4047 4225 4068 4203 11.471105 0.176407 SUCCESS  67
011000111 4107 4121 4100 4260 4185 4058 4044 4051 13.973546 0.082458 SUCCESS  68
011001111 4135 4037 4214 4137 4193 4195 4100 4048  9.663255 0.289461 SUCCESS  69
011010111 4163 4230 4231 4152 4123 4228 4213 4169  4.406865 0.818677 SUCCESS  70
011011111 4169 4181 4213 4163 4193 4245 4135 4209  3.360345 0.909754 SUCCESS  71
011101111 4145 4258 4161 4110 4165 4221 4133 4128  4.390023 0.820333 SUCCESS  72
011111111 4197 4194 4177 4218 4180 4236 4202 4204  3.569558 0.893725 SUCCESS  73
100000000 4139 4173 4087 4196 4178 4237 4184 4186  3.544469 0.895711 SUCCESS  74
100010000 4156 4255 4198 4181 4188 4177 4214 4279  6.752390 0.563568 SUCCESS  75
100100000 4186 4173 4119 4043 4140 4283 4054 4268 13.610539 0.092499 SUCCESS  76
100101000 4057 4166 4301 4297 4198 4183 4307 4171 17.623843 0.024230 SUCCESS  77
100110000 4123 4111 4106 4161 4272 4100 4130 4087  7.486087 0.485206 SUCCESS  78
100111000 4082 4109 4169 4141 4099 4224 4171 4134  4.621979 0.797109 SUCCESS  79
101000000 4129 4168 4207 4159 4141 4198 4223 4206  2.578791 0.957955 SUCCESS  80
101000100 4167 4016 4154 4133 4152 3982 4153 4106 14.545592 0.068607 SUCCESS  81
101001000 4137 4220 4184 4045 4114 4153 4210 4205  6.147519 0.630712 SUCCESS  82
101001100 4076 4169 4125 4133 4211 4104 4183 4177  4.036635 0.853803 SUCCESS  83
101010000 4143 4136 4107 4112 4091 4191 4210 4188  3.872141 0.868471 SUCCESS  84
101010100 4130 4122 4183 4138 4064 4061 4160 4200  6.264619 0.617617 SUCCESS  85
101011000 4252 4105 4096 4102 4144 4091 4079 4169  7.939478 0.439404 SUCCESS  86
101011100 4149 4228 4242 4237 4244 4250 4143 4263 10.181769 0.252499 SUCCESS  87
101100000 4183 4075 4154 4141 4174 4036 4274 4097 10.317249 0.243461 SUCCESS  88
101100100 4290 4094 4137 4179 4163 4098 4062 4097 10.058453 0.260947 SUCCESS  89
101101000 4133 4130 4152 4162 4143 4133 4086 4311  7.754632 0.457798 SUCCESS  90
101101100 4132 4190 4192 4246 4170 4075 4136 4033  8.635829 0.373942 SUCCESS  91
101110000 4230 4212 4167 4182 4271 4110 4217 4181  6.252195 0.619005 SUCCESS  92
101110100 4165 4091 4171 4089 4201 4102 4268 4189  6.852069 0.552674 SUCCESS  93
101111000 4280 4173 4169 4113 4221 4227 4129 4155  6.241011 0.620255 SUCCESS  94
101111100 4065 4248 4190 4165 4157 4130 4230 4141  5.882992 0.660337 SUCCESS  95
110000000 4101 4127 4094 4177 4173 4197 4107 4120  4.024774 0.854881 SUCCESS  96
110000010 4264 4166 4057 4122 4155 4205 4256 4217  9.098041 0.334093 SUCCESS  97
110000100 4170 4173 4090 4057 4099 4133 4064 4142  7.876174 0.445659 SUCCESS  98
110001000 4102 4277 4161 4154 4221 4250 4172 4218  7.706005 0.462702 SUCCESS  99
110001010 4092 4196 4222 4220 4235 4187 4257 4184  6.980897 0.538695 SUCCESS 100
110010000 4200 4144 4110 4182 4076 4254 4089 4300 11.189220 0.191207 SUCCESS 101
110010010 4288 4184 4209 4076 4152 4126 4138 4053  9.917825 0.270841 SUCCESS 102
110010100 4191 4207 4201 4110 4183 4180 4267 4225  5.590721 0.692970 SUCCESS 103
110011000 4142 4142 4159 4185 4150 4210 4204 4038  5.222220 0.733582 SUCCESS 104
110011010 4222 4225 4122 4164 4076 4172 4183 4113  4.855201 0.772934 SUCCESS 105
110100000 4216 4161 4152 4136 4175 4155 4135 4154  1.173655 0.996895 SUCCESS 106
110100010 4142 4093 4098 4117 4046 4045 4235 4169 11.000704 0.201659 SUCCESS 107
110100100 4087 4218 4137 4137 4134 4155 4198 4157  3.047580 0.931336 SUCCESS 108
110101000 4197 4209 4145 4122 4090 4119 4193 4148  3.382531 0.908113 SUCCESS 109
110101010 4242 4124 4202 4165 4115 4097 4184 4195  4.330148 0.826176 SUCCESS 110
110101100 4130 4133 4128 4124 4214 4146 3953 4120 13.252195 0.103462 SUCCESS 111
110110000 4131 4135 4133 4240 4032 4112 4166 4109  7.742084 0.459061 SUCCESS 112
110110010 4235 4109 4074 4216 4074 4094 4025 4133 12.727940 0.121559 SUCCESS 113
110110100 4049 4186 4077 4249 4179 4128 4132 4223  8.524088 0.384017 SUCCESS 114
110111000 4194 4219 4139 4254 4209 4137 4298 4128  8.792022 0.360144 SUCCESS 115
110111010 4230 4112 4152 4134 4208 4086 4121 4172  4.420822 0.817301 SUCCESS 116
110111100 4162 4225 4138 4131 4205 4224 4232 4091  5.216998 0.734151 SUCCESS 117
111000000 4172 4196 4150 4229 4221 4231 4088 4127  5.138498 0.742676 SUCCESS 118
111000010 4288 4128 4170 4113 4154 4132 4139 4127  5.535622 0.699090 SUCCESS 119
111000100 4089 4236 4173 4146 4260 4324 4182 4204 12.120285 0.145917 SUCCESS 120
111000110 4042 4328 4278 4209 4063 4250 4174 4136 18.821534 0.015844 SUCCESS 121
111001000 4259 4167 4130 4236 4107 4192 4055 4301 12.531643 0.129013 SUCCESS 122
111001010 4147 4141 4258 4064 4203 4157 4343 4262 15.800403 0.045328 SUCCESS 123
111001100 4265 4198 4287 4133 4148 4223 4197 4075 10.133482 0.255782 SUCCESS 124
111010000 4147 4188 4202 4100 4197 4196 4174 4104  3.036839 0.932024 SUCCESS 125
111010010 4114 4205 4163 4207 4201 4103 4137 4237  4.308835 0.828240 SUCCESS 126
111010100 4326 4140 4099 4183 4152 4087 4149 4095 10.501356 0.231584 SUCCESS 127
111010110 4180 4102 4140 4053 4237 4122 3956 4246 18.226727 0.019589 SUCCESS 128
111011000 4209 4150 4040 4257 4090 4047 4173 4124 11.557190 0.172081 SUCCESS 129
111011010 4110 4270 4132 4200 4126 4123 4192 4209  5.604313 0.691458 SUCCESS 130
111011100 4195 4188 4181 4196 4184 4103 4263 4127  4.594483 0.799908 SUCCESS 131
111100000 4201 4147 4230 4182 4202 4263 4068 4082  8.375326 0.397692 SUCCESS 132
111100010 4076 4172 4229 4180 4230 4225 4242 4222  7.587548 0.474759 SUCCESS 133
