0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,6000000000,8.000000,491.518622,127.497745,3.141604,0.000033
2,Value,Occurrences,Fraction
3,0,23505186,0.003918
3,1,23444142,0.003907
3,2,23448418,0.003908
3,3,23442178,0.003907
3,4,23442790,0.003907
3,5,23437481,0.003906
3,6,23436159,0.003906
3,7,23434551,0.003906
3,8,23442405,0.003907
3,9,23438167,0.003906
3,10,23435372,0.003906
3,11,23441180,0.003907
3,12,23439106,0.003907
3,13,23441797,0.003907
3,14,23439126,0.003907
3,15,23435746,0.003906
3,16,23441678,0.003907
3,17,23431343,0.003905
3,18,23439116,0.003907
3,19,23445711,0.003908
3,20,23440997,0.003907
3,21,23441805,0.003907
3,22,23442367,0.003907
3,23,23435116,0.003906
3,24,23433033,0.003906
3,25,23432660,0.003905
3,26,23446437,0.003908
3,27,23438159,0.003906
3,28,23430938,0.003905
3,29,23438712,0.003906
3,30,23432641,0.003905
3,31,23442113,0.003907
3,32,23429796,0.003905
3,33,23438960,0.003906
3,34,23426667,0.003904
3,35,23438215,0.003906
3,36,23438988,0.003906
3,37,23438448,0.003906
3,38,23431157,0.003905
3,39,23426654,0.003904
3,40,23434720,0.003906
3,41,23444793,0.003907
3,42,23435814,0.003906
3,43,23435394,0.003906
3,44,23437941,0.003906
3,45,23432777,0.003905
3,46,23442952,0.003907
3,47,23433754,0.003906
3,48,23440306,0.003907
3,49,23449585,0.003908
3,50,23436159,0.003906
3,51,23436854,0.003906
3,52,23434738,0.003906
3,53,23429815,0.003905
3,54,23439526,0.003907
3,55,23448739,0.003908
3,56,23437160,0.003906
3,57,23436151,0.003906
3,58,23437400,0.003906
3,59,23431390,0.003905
3,60,23440739,0.003907
3,61,23442091,0.003907
3,62,23429987,0.003905
3,63,23432702,0.003905
3,64,23440071,0.003907
3,65,23453968,0.003909
3,66,23431900,0.003905
3,67,23440124,0.003907
3,68,23437136,0.003906
3,69,23432849,0.003905
3,70,23427576,0.003905
3,71,23439739,0.003907
3,72,23441842,0.003907
3,73,23437828,0.003906
3,74,23437954,0.003906
3,75,23429451,0.003905
3,76,23439732,0.003907
3,77,23427191,0.003905
3,78,23431470,0.003905
3,79,23433818,0.003906
3,80,23427623,0.003905
3,81,23432749,0.003905
3,82,23444622,0.003907
3,83,23440599,0.003907
3,84,23446072,0.003908
3,85,23433657,0.003906
3,86,23444469,0.003907
3,87,23423957,0.003904
3,88,23440929,0.003907
3,89,23438948,0.003906
3,90,23430814,0.003905
3,91,23434492,0.003906
3,92,23432462,0.003905
3,93,23435243,0.003906
3,94,23435961,0.003906
3,95,23434521,0.003906
3,96,23442532,0.003907
3,97,23443649,0.003907
3,98,23444381,0.003907
3,99,23437459,0.003906
3,100,23432978,0.003905
3,101,23430010,0.003905
3,102,23430046,0.003905
3,103,23439752,0.003907
3,104,23439151,0.003907
3,105,23434523,0.003906
3,106,23436495,0.003906
3,107,23441488,0.003907
3,108,23435934,0.003906
3,109,23440094,0.003907
3,110,23428489,0.003905
3,111,23444593,0.003907
3,112,23444774,0.003907
3,113,23439716,0.003907
3,114,23432529,0.003905
3,115,23429923,0.003905
3,116,23438601,0.003906
3,117,23440674,0.003907
3,118,23433556,0.003906
3,119,23430372,0.003905
3,120,23431326,0.003905
3,121,23432198,0.003905
3,122,23438567,0.003906
3,123,23436862,0.003906
3,124,23448507,0.003908
3,125,23439790,0.003907
3,126,23442049,0.003907
3,127,23435578,0.003906
3,128,23436330,0.003906
3,129,23438516,0.003906
3,130,23436586,0.003906
3,131,23439518,0.003907
3,132,23441462,0.003907
3,133,23440444,0.003907
3,134,23430110,0.003905
3,135,23441562,0.003907
3,136,23433990,0.003906
3,137,23435417,0.003906
3,138,23428918,0.003905
3,139,23438690,0.003906
3,140,23444225,0.003907
3,141,23439499,0.003907
3,142,23433712,0.003906
3,143,23432438,0.003905
3,144,23437348,0.003906
3,145,23432791,0.003905
3,146,23434504,0.003906
3,147,23431059,0.003905
3,148,23435847,0.003906
3,149,23440137,0.003907
3,150,23456923,0.003909
3,151,23432218,0.003905
3,152,23446340,0.003908
3,153,23437455,0.003906
3,154,23432042,0.003905
3,155,23435069,0.003906
3,156,23427118,0.003905
3,157,23434852,0.003906
3,158,23438558,0.003906
3,159,23439698,0.003907
3,160,23439305,0.003907
3,161,23439889,0.003907
3,162,23430920,0.003905
3,163,23434857,0.003906
3,164,23432656,0.003905
3,165,23435861,0.003906
3,166,23431572,0.003905
3,167,23438132,0.003906
3,168,23430554,0.003905
3,169,23449073,0.003908
3,170,23434537,0.003906
3,171,23445969,0.003908
3,172,23441424,0.003907
3,173,23447842,0.003908
3,174,23439757,0.003907
3,175,23441964,0.003907
3,176,23438073,0.003906
3,177,23434868,0.003906
3,178,23437605,0.003906
3,179,23440687,0.003907
3,180,23437389,0.003906
3,181,23440052,0.003907
3,182,23436537,0.003906
3,183,23431675,0.003905
3,184,23433449,0.003906
3,185,23427667,0.003905
3,186,23436497,0.003906
3,187,23432807,0.003905
3,188,23438164,0.003906
3,189,23440082,0.003907
3,190,23436321,0.003906
3,191,23444967,0.003907
3,192,23445710,0.003908
3,193,23430812,0.003905
3,194,23442037,0.003907
3,195,23438115,0.003906
3,196,23437956,0.003906
3,197,23432624,0.003905
3,198,23432724,0.003905
3,199,23438733,0.003906
3,200,23437798,0.003906
3,201,23437881,0.003906
3,202,23438201,0.003906
3,203,23434937,0.003906
3,204,23442783,0.003907
3,205,23431197,0.003905
3,206,23444445,0.003907
3,207,23438137,0.003906
3,208,23441988,0.003907
3,209,23432650,0.003905
3,210,23440063,0.003907
3,211,23439423,0.003907
3,212,23443033,0.003907
3,213,23441456,0.003907
3,214,23429394,0.003905
3,215,23433500,0.003906
3,216,23437145,0.003906
3,217,23427866,0.003905
3,218,23434496,0.003906
3,219,23434592,0.003906
3,220,23440972,0.003907
3,221,23437136,0.003906
3,222,23436432,0.003906
3,223,23435037,0.003906
3,224,23438655,0.003906
3,225,23444001,0.003907
3,226,23438839,0.003906
3,227,23440180,0.003907
3,228,23435665,0.003906
3,229,23435802,0.003906
3,230,23428394,0.003905
3,231,23426796,0.003904
3,232,23438007,0.003906
3,233,23434089,0.003906
3,234,23435491,0.003906
3,235,23437866,0.003906
3,236,23440207,0.003907
3,237,23445123,0.003908
3,238,23439649,0.003907
3,239,23438151,0.003906
3,240,23441025,0.003907
