		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 4162.660156	M = 2131290	N = 8	m = 9	n = 17050327
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 4116 4321 4188 4205 4085 4117 4146 4182  9.554317 0.297710 SUCCESS   0
000000011 4238 4223 4086 4169 4053 4144 4156 4087  8.293365 0.405351 SUCCESS   1
000000101 4149 4224 4241 4218 4162 4217 4119 4208  4.985504 0.759124 SUCCESS   2
000000111 4155 4104 4195 4148 4067 4156 4179 4207  4.022578 0.855081 SUCCESS   3
000001001 4073 4138 4198 4185 4179 4216 4196 4206  4.099196 0.848065 SUCCESS   4
000001011 4115 4157 4203 4233 4172 4198 4241 4188  4.222652 0.836497 SUCCESS   5
000001101 4195 4085 4026 4289 4239 4095 4089 4116 14.840090 0.062330 SUCCESS   6
000001111 4074 4042 4116 4058 4061 4067 4229 4102 15.683264 0.047145 SUCCESS   7
000010001 4285 4203 4150 4064 4171 4131 4207 4120  7.788936 0.454355 SUCCESS   8
000010011 4170 4239 4207 4150 4179 4123 4133 4225  3.631255 0.888768 SUCCESS   9
000010101 4205 4110 4160 4232 4187 4121 4032 4176  7.195712 0.515672 SUCCESS  10
000010111 4148 4122 4222 4286 4178 4199 4202 4264  8.442218 0.391507 SUCCESS  11
000011001 3960 4170 4173 4212 4140 4287 4201 4116 15.725664 0.046479 SUCCESS  12
000011011 4244 4164 4075 4188 4188 4165 4057 4247  8.415842 0.393938 SUCCESS  13
000011101 4254 4157 4188 4167 4124 4292 4215 4204  7.878765 0.445402 SUCCESS  14
000011111 4029 4098 4183 4025 4109 4100 4153 4102 12.918170 0.114696 SUCCESS  15
000100011 4291 4155 4161 4142 4139 4287 4207 4121  9.114556 0.332725 SUCCESS  16
000100101 4111 4142 4114 4049 4149 4200 4130 4175  5.263282 0.729101 SUCCESS  17
000100111 4304 4205 4152 4210 4174 4101 4128 4096  8.373736 0.397839 SUCCESS  18
000101001 4186 4237 4260 4192 4146 4227 4213 4104  6.659107 0.573819 SUCCESS  19
000101011 4240 4150 4168 4157 4170 4070 4052 4138  6.881877 0.549429 SUCCESS  20
000101101 4119 4052 4241 4166 4156 4116 4155 4223  6.515472 0.589692 SUCCESS  21
000101111 4203 4175 4221 4208 4180 4171 4086 4167  3.355641 0.910100 SUCCESS  22
000110011 3997 4235 4260 4250 4298 4219 4233 4146 19.007743 0.014818 SUCCESS  23
000110101 4264 4153 4077 4160 4103 4193 4165 4205  5.960001 0.651712 SUCCESS  24
