		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 4162.660156	M = 2131290	N = 8	m = 9	n = 17050327
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 4169 4139 4127 4106 4095 4064 4146 4113  5.500718 0.702960 SUCCESS   0
000000011 4245 4217 4213 4125 4116 4165 4168 4175  3.987735 0.858228 SUCCESS   1
000000101 4169 4111 4180 4264 4088 4148 4262 4120  7.642451 0.469152 SUCCESS   2
000000111 4185 4265 4239 4149 4048 4243 4206 4206 10.024945 0.263279 SUCCESS   3
000001001 4181 4114 4162 4109 4211 4166 4211 4189  2.723950 0.950470 SUCCESS   4
000001011 4247 4062 4204 4204 4018 4227 4256 4154 13.546443 0.094380 SUCCESS   5
000001101 4150 4158 4089 4159 4162 4082 4108 4114  4.344246 0.824806 SUCCESS   6
000001111 4214 4165 4154 4314 4110 4138 4222 4200  8.427635 0.392850 SUCCESS   7
000010001 4150 4123 4144 4099 4100 4210 4239 4163  4.504768 0.808956 SUCCESS   8
000010011 4147 4114 4216 4130 4270 4249 4139 4194  6.719725 0.567152 SUCCESS   9
000010101 4107 4045 4156 4267 4303 4131 4096 4158 13.178422 0.105856 SUCCESS  10
000010111 4238 4090 4241 4158 4118 4198 4198 4061  7.936853 0.439663 SUCCESS  11
000011001 4096 4157 4271 4150 4122 4034 4115 4200  9.503346 0.301627 SUCCESS  12
000011011 4275 4174 4099 4165 4145 4111 4064 4230  8.462263 0.389665 SUCCESS  13
000011101 4161 4162 4159 4235 4186 4208 4140 4139  2.217285 0.973615 SUCCESS  14
000011111 4210 4194 4174 4155 4227 4106 4245 4178  4.416905 0.817688 SUCCESS  15
000100011 4118 4167 4137 4099 4049 4199 4198 4252  7.502655 0.483493 SUCCESS  16
000100101 4115 4164 4223 4019 4083 4154 4230 4209  9.853540 0.275456 SUCCESS  17
000100111 4121 4137 4216 4209 4233 4202 4114 4212  4.642628 0.795000 SUCCESS  18
000101001 4161 4080 4189 4027 4149 4134 4139 4113  7.446178 0.489345 SUCCESS  19
000101011 4185 4230 4167 4265 4193 4170 4183 4231  5.363307 0.718133 SUCCESS  20
000101101 4226 4157 4112 4131 4145 4305 4147 4242  8.628571 0.374591 SUCCESS  21
000101111 4168 4081 4181 4142 4171 4095 4134 4113  3.825374 0.872525 SUCCESS  22
000110011 4082 4077 4187 4168 4107 4201 4053 4172  7.738983 0.459373 SUCCESS  23
000110101 4055 4077 4078 4173 4188 4079 4238 4222 10.694862 0.219595 SUCCESS  24
000110111 4281 4085 4242 4204 4142 4159 4150 4146  7.185381 0.516770 SUCCESS  25
000111001 4067 4236 4151 4087 4157 4206 4238 4097  8.022872 0.431239 SUCCESS  26
000111011 4163 4166 4148 4077 4096 4179 4100 4230  5.152333 0.741177 SUCCESS  27
000111101 4227 4252 4121 4199 4140 4073 4239 4082  8.961107 0.345588 SUCCESS  28
000111111 4202 4181 4244 4144 4225 4195 4209 4197  4.250773 0.833819 SUCCESS  29
001000011 4234 4111 4122 4025 4263 4153 4133 4117 10.308879 0.244012 SUCCESS  30
001000101 4164 4110 4189 4165 4117 4228 4098 4128  3.779526 0.876447 SUCCESS  31
001000111 4191 4133 4162 4034 4052 4104 4137 4249 10.445232 0.235156 SUCCESS  32
001001011 4075 4239 4156 4113 4073 4189 4106 4128  7.247427 0.510188 SUCCESS  33
001001101 4191 4168 4143 4165 3982 4133 4076 4221 11.344372 0.182940 SUCCESS  34
001001111 4151 4159 4208 4201 4170 4240 4160 4134  2.618687 0.955966 SUCCESS  35
001010011 4148 4161 4189 3988 4179 4187 4229 4091 10.389763 0.238728 SUCCESS  36
001010101 4102 4013 4192 4209 4325 4265 4066 4094 19.871252 0.010834 SUCCESS  37
001010111 4190 4049 4145 4192 4082 4108 4067 4303 13.213875 0.104700 SUCCESS  38
001011011 4200 4174 4052 4117 4280 4206 4072 4188 10.029099 0.262989 SUCCESS  39
001011101 4196 4196 4174 4233 4168 4151 4167 4047  5.183290 0.737818 SUCCESS  40
001011111 4129 4069 4067 4206 4127 4081 4153 4170  7.211314 0.514015 SUCCESS  41
001100101 4145 4323 4126 4169 4167 4080 4154 4161  8.531376 0.383355 SUCCESS  42
001100111 3987 4071 4148 4225 4174 4222 4041 4243 16.962452 0.030502 SUCCESS  43
001101011 4093 4053 4098 4177 4084 4233 4231 4156  9.222167 0.323902 SUCCESS  44
001101101 4174 4298 4213 4145 4205 4165 4094 4212  7.513606 0.482362 SUCCESS  45
001101111 4142 4127 4185 4191 4077 4195 4131 4275  6.213710 0.623307 SUCCESS  46
001110101 4069 4153 4239 4182 4254 4212 4105 4202  7.632585 0.470157 SUCCESS  47
001110111 4121 4172 4185 4044 4161 4166 4091 4215  6.035751 0.643227 SUCCESS  48
001111011 4116 4183 4121 4180 4137 4026 4178 4146  6.081417 0.638112 SUCCESS  49
001111101 4188 4126 4153 4039 4274 4150 4139 4177  7.626734 0.470754 SUCCESS  50
001111111 4221 4202 4158 4159 4168 4164 4163 4091  2.522543 0.960671 SUCCESS  51
010000011 4140 4216 4202 4225 4072 4080 4145 4213  6.632054 0.576800 SUCCESS  52
010000111 4265 4167 4072 4128 4284 4128 4196 4108  9.923520 0.270435 SUCCESS  53
010001011 4173 4191 4206 4290 4183 4169 4067 4193  7.337406 0.500705 SUCCESS  54
010001111 4217 4158 4257 4112 4141 4053 4231 4171  7.870715 0.446200 SUCCESS  55
010010011 4166 4219 4091 4220 4054 4055 4115 4112  9.900466 0.272082 SUCCESS  56
010010111 4116 4234 4152 4138 4107 3994 4097 4084 12.431794 0.132953 SUCCESS  57
010011011 4171 4217 4130 4182 4145 4238 4056 4234  6.688303 0.570605 SUCCESS  58
010011111 4079 4182 4180 4107 4138 4131 4214 4048  6.998450 0.536800 SUCCESS  59
010100011 4136 4143 4232 4172 4200 4150 4241 4160  3.402016 0.906660 SUCCESS  60
010100111 4132 4113 4139 4154 4157 4066 4165 4095  4.472541 0.812174 SUCCESS  61
010101011 4109 4099 4183 4142 4347 4169 4209 4064 13.337226 0.100761 SUCCESS  62
010101111 4163 4177 4079 4195 4145 4127 4101 4248  5.197968 0.736223 SUCCESS  63
010110011 4147 4182 4132 4186 4138 4221 4205 4179  2.031421 0.980033 SUCCESS  64
010110111 4172 4146 4121 4235 4304 4192 4170 4106  7.811091 0.452138 SUCCESS  65
010111011 4138 4028 4055 4252 4165 4197 4185 4178  9.997082 0.265231 SUCCESS  66
010111111 4142 4080 4182 4208 4034 4088 4218 4266 11.320388 0.184198 SUCCESS  67
011000111 4178 4269 4299 4099 4198 4182 4206 4208  9.875014 0.273908 SUCCESS  68
011001111 4098 4183 4105 4207 4247 4221 4031 4150  9.416609 0.308379 SUCCESS  69
011010111 4166 4004 4105 4049 4064 4353 4105 4108 23.283369 0.003019 FAILURE  70
011011111 4134 4059 4103 4174 4194 4231 4205 4198  5.950819 0.652741 SUCCESS  71
011101111 4146 4093 4135 4145 4204 4133 4132 4187  2.566366 0.958564 SUCCESS  72
011111111 4185 4125 4203 4143 4138 4171 4188 4173  1.331328 0.995167 SUCCESS  73
100000000 4169 4139 4127 4106 4095 4064 4146 4113  5.500718 0.702960 SUCCESS  74
100010000 4069 4161 4169 4093 4317 4231 4180 4135 10.740464 0.216843 SUCCESS  75
100100000 4064 4140 4100 4191 4093 4143 4263 4099  8.531950 0.383303 SUCCESS  76
100101000 4069 4125 4310 4204 4293 4086 4226 4209 15.563098 0.049078 SUCCESS  77
100110000 4219 4197 4221 4043 4133 4185 4203 4094  7.403675 0.493770 SUCCESS  78
100111000 4131 4076 4185 4175 4190 4100 4109 4182  4.246752 0.834203 SUCCESS  79
101000000 4260 4222 4280 4180 4051 4072 4127 4071 14.269251 0.075012 SUCCESS  80
101000100 4160 4070 4122 4207 4114 4229 4177 4180  4.842222 0.774299 SUCCESS  81
101001000 3997 4108 4136 4030 4077 4176 4211 4059 17.229206 0.027809 SUCCESS  82
101001100 4252 4249 4192 4095 4176 4251 4250 4190  9.251546 0.321522 SUCCESS  83
101010000 4128 4139 4225 4232 4112 4004 4137 4182  9.747233 0.283217 SUCCESS  84
101010100 4059 4095 4159 4282 4200 4231 4095 4110 10.683243 0.220301 SUCCESS  85
101011000 4136 4127 4122 4190 4153 4185 4275 4094  5.543591 0.698206 SUCCESS  86
101011100 4231 4180 4234 4068 4184 4246 4164 4219  7.354477 0.498914 SUCCESS  87
101100000 4197 4134 4051 4133 4244 4117 4243 4142  7.685673 0.464761 SUCCESS  88
101100100 4162 4100 4179 4155 4139 4226 4188 4166  2.354948 0.968152 SUCCESS  89
101101000 4294 4230 4111 4180 4011 4143 4052 4115 15.569469 0.048974 SUCCESS  90
101101100 4206 4294 4212 4123 4182 4196 4077 4204  8.365855 0.398572 SUCCESS  91
101110000 4206 4110 4065 4151 4130 4214 4176 4146  4.592633 0.800096 SUCCESS  92
101110100 4263 4327 4177 4225 4140 4047 4185 4166 13.807693 0.086918 SUCCESS  93
101111000 4193 4157 4225 4202 4182 4129 4131 4250  4.105908 0.847444 SUCCESS  94
101111100 4056 4130 4066 4133 4222 4185 4200 4244  8.621452 0.375229 SUCCESS  95
110000000 4255 4086 4196 4222 4160 4171 4266 4262  9.854819 0.275364 SUCCESS  96
110000010 4222 4034 4082 4116 4192 4210 4099 4035 12.973039 0.112781 SUCCESS  97
110000100 4143 4194 4127 4182 4130 4200 4203 4213  2.394540 0.966467 SUCCESS  98
110001000 4113 4221 4187 4165 4147 4236 4136 4182  3.274062 0.916000 SUCCESS  99
110001010 4326 4250 4213 4235 4207 4142 4219 4223 12.742882 0.121008 SUCCESS 100
110010000 4321 4136 4183 4106 4136 4151 4266 4059 12.840879 0.117443 SUCCESS 101
110010010 4111 4151 4067 4270 4110 4189 4167 4130  6.964866 0.540428 SUCCESS 102
110010100 4092 4192 4211 4140 4227 4069 4101 4136  6.492417 0.592249 SUCCESS 103
110011000 4223 4175 4235 4073 4201 4202 4176 4113  5.647168 0.686686 SUCCESS 104
110011010 4064 4129 4140 4130 4150 4266 4336 4189 13.424625 0.098051 SUCCESS 105
110100000 4252 4200 4202 4061 3943 4165 4121 4115 18.268629 0.019300 SUCCESS 106
110100010 4179 4066 4178 4221 4192 4188 4022 4204  9.006476 0.341750 SUCCESS 107
110100100 4035 4212 4128 4172 4045 4114 4208 4024 14.291142 0.074485 SUCCESS 108
110101000 4136 4222 4189 4116 4177 4075 4102 4297  9.124132 0.331933 SUCCESS 109
110101010 4066 4181 4150 4215 4222 4135 4238 4080  7.298956 0.504748 SUCCESS 110
110101100 4151 4087 4189 4164 4168 4218 4260 4117  5.269502 0.728421 SUCCESS 111
